Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_1.golog,0.125,0,0,0.002,0,0,0.127,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_1.golog,0.075,0,0,0.004,0,0,0.079,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_1.golog,0.08,0,0,0.057,0,0,0.137,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_1.golog,0.095,0,0,0.016,0,0,0.111,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_1.golog,0.074,0,0,0.002,0,0,0.076,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_1.golog,0.07,0,0,0.001,0,0,0.071,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_2.golog,0.078,0,0,0.005,0,0.002,0.085,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_2.golog,0.075,0,0,0.005,0,0.002,0.082,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_2.golog,0.075,0,0,0.178,0,0.002,0.255,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_2.golog,0.073,0,0,0.029,0,0.002,0.104,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_2.golog,0.079,0,0,0.007,0,0.002,0.088,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_2.golog,0.078,0,0,0.004,0,0.004,0.086,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_3.golog,0.083,0,0,0.017,0,0.016,0.116,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_3.golog,0.093,0,0,0.007,0,0.021,0.121,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_3.golog,0.076,0,0,0.501,0,0.007,0.584,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_3.golog,0.075,0,0,0.043,0,0.017,0.135,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_3.golog,0.076,0,0,0.021,0,0.008,0.105,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_3.golog,0.073,0,0,0.005,0,0.009,0.087,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_4.golog,0.081,0,0.004,0.03,0,0.029,0.144,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_4.golog,0.082,0,0.003,0.011,0,0.05,0.146,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_4.golog,0.077,0,0.004,1.098,0,0.037,1.216,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_4.golog,0.078,0,0.003,0.072,0,0.067,0.22,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_4.golog,0.075,0,0.004,0.043,0,0.013,0.135,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_4.golog,0.071,0,0.004,0.008,0,0.014,0.097,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_5.golog,0.072,0,0.006,0.051,0,0.055,0.184,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_1_5.golog,0.071,0,0.006,0.017,0,0.071,0.165,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_5.golog,0.071,0,0.005,2.013,0,0.074,2.163,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_1_5.golog,0.077,0,0.005,0.103,0,0.09,0.275,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_5.golog,0.08,0,0.006,0.092,0,0.017,0.195,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p1_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_1_5.golog,0.081,0,0.006,0.017,0,0.031,0.135,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_1.golog,0.077,0,0,0.006,0,0,0.083,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_1.golog,0.072,0,0,0.004,0,0.001,0.077,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_1.golog,0.073,0,0,0.246,0,0,0.319,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_1.golog,0.069,0,0,0.035,0,0.002,0.106,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_1.golog,0.071,0,0,0.005,0,0,0.076,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_1.golog,0.085,0,0,0.003,0,0.001,0.089,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_2.golog,0.078,0,0,0.018,0,0.014,0.11,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_2.golog,0.079,0,0,0.008,0,0.014,0.101,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_2.golog,0.082,0,0,1.042,0,0.015,1.139,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_2.golog,0.076,0,0,0.072,0,0.015,0.163,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_2.golog,0.079,0,0,0.059,0,0.006,0.144,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_2.golog,0.075,0,0,0.006,0,0.008,0.089,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_3.golog,0.073,0,0.002,0.042,0,0.041,0.158,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_3.golog,0.075,0,0.003,0.014,0,0.041,0.133,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_3.golog,0.07,0,0.003,1.961,0,0.047,2.081,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_3.golog,0.079,0,0.002,0.128,0,0.039,0.248,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_3.golog,0.071,0,0.002,0.692,0,0.013,0.778,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_3.golog,0.074,0,0.003,0.014,0,0.014,0.105,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_4.golog,0.075,0,0.006,0.082,0,0.203,0.366,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_4.golog,0.071,0,0.004,0.025,0,0.267,0.367,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_4.golog,0.075,0,0.004,3.351,0,0.071,3.501,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_4.golog,0.083,0,0.004,0.169,0,0.258,0.514,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_4.golog,0.074,0,0.008,7.591,0,0.021,7.694,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_4.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_4.golog,0.076,0,0.007,0.016,0,0.012,0.111,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_5.golog,0.076,0,0.012,0.155,0,0.822,1.065,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_2_5.golog,0.081,0,0.01,0.033,0,0.917,1.041,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_5.golog,0.074,0,0.009,9.541,0,0.686,10.31,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_2_5.golog,0.078,0,0.01,0.254,0,0.912,1.254,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_5.golog,0.075,0,0.009,89.305,0,0.025,89.414,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p2_5.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_2_5.golog,0.078,0,0.01,0.026,0,0.024,0.138,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p3_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_3_1.golog,0.076,0,0,0.015,0,0.002,0.093,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p3_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_1_3_1.golog,0.074,0,0,0.007,0,0.003,0.084,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p3_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_3_1.golog,0.072,0,0,0.974,0,0.005,1.051,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p3_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_2_3_1.golog,0.074,0,0.001,0.072,0,0.002,0.149,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_move/domain_r3.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/p3_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_move/prog_3_3_1.golog,0.068,0,0,0.016,0,0.005,0.089,Compositional
